"[STORE VIEW]","[VISÃO DE LOJA]"
"[WEBSITE]","[WEBSITE]"
"[GLOBAL]","[GLOBAL]"
"Merchant Location","Local do Comerciante"
"Merchant Country","País do Comerciante"
"If not specified, Default Country from General Config will be used","Caso não especificado, será utilizado o País Padrão das Configurações Gerais"
"PayPal Payment Solutions","Soluções de Pagamento PayPal"
"Add another payment method to your existing solution or as a stand-alone option.","Adicione outro método de pagamento para sua soluções existente ou como uma opções stand-alone."
"Help","Ajuda"
"Learn More","Saiba Mais"
"Website Payments Standard","Website Payments Standard"
"Accept credit card and PayPal payments securely.","Aceite cartões de crédito e pagamentos seguros com PayPal."
"Add PayPal as an additional payment method to your checkout page.","Adicione o PayPal como um método de pagamento adicional para sua página de checkout."
"Configure","Configurar"
"Required PayPal Settings","Configurações Necessárias PayPal"
"Email Associated with PayPal Merchant Account","E-mail Associado com a Conta de Comerciante PayPal"
"Enable this Solution","Habilitar esta Solução"
"Title","Nome de exibição no Checkout"
"Sort Order","Orden de exibição no checkout"
"Payment Action","Ação do Pagamento"
"Advanced Settings","Configurações Avançadas"
"Website Payments Standard","Pagamentos Padrão de Websites PayPal"
"Basic Settings - PayPal Website Payments Standard","Configurações Básicas - Pagamentos Padrão de Websites PayPal"
"Payment Applicable From","Pagamento Aplicável De"
"Countries Payment Applicable From","Países Aplicáveis para Pagamento"
"Sandbox Mode","Modo Sandbox (teste)"
"Transfer Cart Line Items","Exibir no checkout da Paypal os itens do carrinho"
"Debug Mode","Modo Debug (Log)"
"Enable SSL verification","Habilitar Verificação SSL"
"Yes","Sim"
"No","Não"
"Close","Fechar"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Comece a aceitar pagamentos via PayPal!</a>"
"API Signature","Assinatura API"
"API Certificate","Certificado API"
"API Authentication Methods","Métodos de Autenticação API"
"API Username","Nome de Usuário da API"
"API Password","Senha da API"
"API Signature","Assinatura da API"
"API Uses Proxy","Usar Proxy para API"
"Proxy Host","Host da Proxy"
"Proxy Port","Porta da Proxy"
"Sandbox Credentials","Credenciais da Sandbox"
"Get Credentials from PayPal","Obter Credenciais do PayPal"
"It is recommended to set this value to ""PayPal"" per store views.","É recomendado configurar este valor para ""PayPal"" por visões de lojas."
"Also affects mini-shopping cart.","Também afeta o resumo do carrinho."
"All Allowed Countries","Todos os Países Permitidos"
"Specific Countries","Países Especificados"
"Transfer Shipping Options","Exibir no checkout da PayPal as opções de frete"
"Shortcut Buttons Flavor","Botões de Atalho"
"Dynamic","Dinâmico"
"Static","Estático"
"Enable PayPal Guest Checkout","Habilitar Compra de Visitante com PayPal"
"Require Customer's Billing Address","Solicitar Endereço de Cobrança do Cliente"
"Billing Agreement Signup","Termo de Aceite de Cadastro"
"Never","Nunca"
"Ask Customer","Perguntar para o Cliente"
"PayPal Billing Agreement Settings","Configurações do Termo de Aceite de Cobrança do PayPal"
"Enabled","Habilitado"
"Settlement Report Settings","Configurações de Relatório de Liquidação"
"SFTP Credentials","Credenciais SFTP"
"Login","Login"
"Password","Senha"
"Custom Endpoint Hostname or IP-Address","Endereço IP ou Hostname de Endpoint Personalizado"
"Custom Path","Caminho Personalizado"
"Scheduled Fetching","Fetching Agendado"
"Enable Automatic Fetching","Habilitar Fetching Automático"
"Schedule","Agendar"
"PayPal retains reports for 45 days.","O PayPal mantém os relatórios por 45 dias."
"Daily","Diariamente"
"Every 3 days","A cada 3 dias"
"Every 7 days","A cada 7 dias"
"Every 10 days","A cada 10 dias"
"Every 14 days","A cada 14 dias"
"Every 30 days","A cada 30 dias"
"Every 40 days","A cada 40 dias"
"Time of Day","Hora do Dia"
"Frontend Experience Settings","Configurações de Experiência Frontend"
"PayPal Product Logo","Logo do Produto PayPal"
"Displays on catalog pages and homepage.","É mostrado nas páginas de catálogo e homepage."
"PayPal Merchant Pages Style","Estilo da Página do Comerciante PayPal"
"Page Style","Estilo de Página"
"Header Image URL","URL da Imagem do Cabeçalho"
"Header Background Color","Cor de Fundo do Cabeçalho"
"Header Border Color","Cor da Borda do Cabeçalho"
"Page Background Color","Cor de Fundo da Página"
"Purchase Securely with PayPal Brazil","Compre com Segurança com PayPal Brasil"
"No Logo","Sem Logo"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Colored","Colorido"
"Black and White","Preto e Branco"
"Now Accepting PayPal Logo (%s, %s)","Logo Aceitamos PayPal (%s, %s)"
"This Store Prefer PayPal Logo (%s, %s)","Logo Este Loja Prefere PayPal (%s, %s)"
"We Prefer PayPal Logo (%s, %s)","Logo Nós Preferimos PayPal (%s, %s)"
"This Website Prefer PayPal Logo (%s, %s)","Logo Este Site Prefere PayPal (%s, %s)"
"Secure Purchase PayPal Logo (%s, %s)","Logo Compra Segura com PayPal (%s, %s)"
"Sale","Venda"
"Authorization","Autorização"
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Note que o PayPal pode suportar até 10 opções de entrega. Esta é a razão pela qual o Magento transferirá apenas as 10 primeiras opções mais baratas caso hajam mais de 10 disponíveis."
"Ability for buyer to purchase without PayPal account.","Possiblita o comprador a comprar sem uma conta PayPal."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Esta funcionalidade deve ser ativada primeiramente para a conta de comerciante em questão pale equipe técnica de suporte do PayPal."
"Whether to create a billing agreement, if there are no active billing agreements available.","Permite criar um aceite de cobrança, caso não exista nenhum aceite de cobrança ativo disponível."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Aparecerá como uma opção do pagamento apenas para clientes que possuam ao menos um aceite de cobrança ativo."
"By default it is ""reports.paypal.com"".","Por padrão é ""reports.paypal.com""."
"By default it is ""/ppreports/outgoing"".","Por padrão é ""/ppreports/outgoing""."
"Please do not refresh the page until you complete payment.","Por favor, não atualize a página até que o pagamento esteja completo."
"You will be required to enter your payment details after you place an order.","Será solicitado que você entre com as informações de pagamento após você colocar o pedido."
"Additional Options","Opções Adicionais"
"What is PayPal?","O que é o PayPal?"
"You will be redirected to the PayPal website.","Você será redirecionado para o website do PayPal."
"Sign a billing agreement to streamline further purchases with PayPal.","Assine um aceite de cobrança para simplificar as próximas cobranças com o PayPal."
"Please update order data to get shipping methods and rates","Por favor, atualize os dados de seu pedido para obter as taxas e métodos de entrega"
"Please select a shipping method...","Por favor, selecione um método de entrega..."
"Sorry, no quotes are available for this order at this time.","Desculpe, nenhuma cotação está disponível para seu pedido neste momento."
"Same as shipping","Igual o endereço de entrega"
"PayPal gateway has rejected request. %s","O gateway do PayPal rejeitou a requisição. %s"
"Avoid Review Page","Pular Página de Revisão de Pedido"
"Shortcut on Product View","Mostrar Atalho na Página de Produto"
"Shortcut on Shopping Cart","Mostrar Atalho no Carrinho"
"Basic Settings - PayPal Express Checkout","Configurações Básicas - PayPal Express Checkout"
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","Se esta opções estiver habilitada, o cliente poderá alterar o endereço de entrega e o método de entrega no website do PayPal. Em produção funciona apenas em protocolo HTTPS."
"This option allow customer to avoid review page when all information is provided from PayPal website.","Esta opção permite que cliente não passe pela página de revisão quando todas as informações necessárias são enviadas pelo PayPal."
"Application Settings","Configurações da Aplicação"
"Use a transparent solution and your customer no longer need to leave your store to make a payment.","Use a solução transparente e seu cliente não precisará mais sair da sua loja para realizar um pagamento."
"Create Order With Failure","Criar pedido mesmo com pagamento não aprovado"
"Empty","Não se aplica"
"First Name", "Primeiro Nome"
"Last Name", "Sobrenome"
"Transaction ID","ID da Transação"
"Installment","Quantidade de Parcelas"
"Installment Value","Valor ds Parcelas"
"Total","Total"
"Shipping Method, comes from Paypal.","Quando os dados de entrega vem da Paypal.."
"Sandbox Mode","Modo Sandbox (Homologação)"
"Use a in-Context solution only when Express Checkout is Active.","Utilize a solução de In-context com o Express Checkout"
"Merchant ID","ID de Vendedor"
"Display on Product Details Page","Oferecer Paypal diretamente na página do produto"
"Display on Shopping Cart","Oferecer Paypal diretamente no carrinho"
"Skip Order Review Step","Pular a página de revisão no checkout"
"Title Paypal Plus","Nome de exibição no Checkout"
"To / Do (Checkout default)","De / Para (Atributos Magento)"
"Firstname","Primeiro Nome"
"Lastname","Sobrenome"
"Recipient Firstname","Primeiro Nome"
"Recipient Lastname","Sobrenome"
"Line 1 Address  - Address Full ","Endereço - Atributo 1 (Rua ou Endereço completo"
"Line Address 1 - Complement 1","Endereço - Atributo 2 (Número)"
"Line Address 1 - Complement 2","Endereço - Atributo 2 (Complemento)"
"Line Address 2 - Adress Complement Suport","Endereço - Atributo 4 (Bairro)"
"City","Cidade"
"Country Code","País"
"Postal Code","CEP"
"State","Estado"
"Order","Pedidos"
"New Order Status","Status de novos pedidos"
"Attributes Settings","Atributos (Cliente e Endereço de entrega)"
"To / Do (Shipping Information)","De / Para (informações de Entrega)"
"Which is your checkout?","Checkout"
"Osc Options","Utiliza algum modulo de checkout?"
"Shipping Telefone","Telefone de Entrega"
"Order not created, your payment method was not aproved.","Pedido não realizado, o seu meio de pagamento não foi aprovado."
"Checkout_Default","Não"
"MOIP_Onestepcheckout","MOIP"
"Inovarti_Onestepcheckout","Inovarti (OSC6 Brasil)"
"TM_FireCheckout","Firecheckout"
"Amasty_Scheckout","Amasty"
"Esmart_SmartCheckout","Esmart Checkout"
"AW_OneStepCheckout","AheadWorks OneStepCheckout"
"Painel Paypal","Descrição do pedido na Paypal"
"Profiler Name","Nome do Perfil"
"Profiler ID","Id do Perfil"
"Enable only if Express Checkout were configured.","Habilitar apenas se o Express Checkout estiver devidamente configurado."
"This input has a MerchantId of Express Checkout Account.","Configure esse campo com o ID de vendedor da sua conta Paypal ou deixe em branco se estiver na dúvida."
"Use the Express Checkout solution to facilitate user login and accelerate the purchase.","Utilize a solução de Express Checkout para facilitar o login do usuário e agilizar a compra."
"For users who have itens on the shopping cart, it will be display a fast purchase button on the login and onboarding page where the user will be able to purchase with his PayPal account without the need to have an account on the store.","Para usuarios com itens no carrinho será exibido um botão de compra rápida nas paginas de login e cadastro onde o usuário poderá efetuar uma compra utilizando a sua conta PayPal sem a necessidade de ter uma conta na loja."
"Avoid Review Page","Exibir as outras opções de frete na página de revisão."
"<strong style=""color:red"">Warning!</strong> This solution will only work if the e-commerce accepts guest payments.","<strong style=""color:red"">Alerta!</strong> Esta solução só irá funcionar caso o e-commerce aceite pagamentos de visitantes (Guest)."
"Your Payment is being reviewed.","O seu pagamento está em análise e pode demorar até 24 horas para ser aprovado. Caso não seja aprovado será reembolsado em seu cartão o valor total da compra, o período de efetivação do reembolso varia de banco para banco."
"Invoice not Paid yet.","(Não há ainda um ID pois o Invoice ainda não foi pago)"
"Invoice Payer View Url","Link para pagamento do Invoice"
"Plots","Parcelas"
"Plots Value","Valor das Parcelas"
"Update Order Data","Atualizar Pedido"
"Place Order","Finalizar"
